TIMESTAMP,TEMPERATURE,HUMIDITY,ISRAINING
551,23012019 2300,20.849066,85.276405,0
552,24012019 0000,20.909065,84.006294,0
553,24012019 0100,21.539066,77.03449,0
554,24012019 0200,21.529066,75.967476,0
555,24012019 0300,20.929066,78.02465,0
556,24012019 0400,20.989065,79.68148,0
557,24012019 0500,21.389067,81.35861,0
558,24012019 0600,21.299067,82.3771,0
559,24012019 0700,20.539066,86.37864,0
560,24012019 0800,20.979065,86.527596,0
561,24012019 0900,24.059065,67.454636,1
562,24012019 1000,24.169065,67.39147,1
563,24012019 1100,23.509066,71.46258,0
564,24012019 1200,24.939066,66.953545,0
565,24012019 1300,24.539066,68.963715,0
566,24012019 1400,24.409065,69.11219,0
567,24012019 1500,24.829065,67.86176,0
568,24012019 1600,25.199066,65.4688,0
569,24012019 1700,22.489065,79.18569,0
570,24012019 1800,21.579065,89.26142,0
571,24012019 1900,21.979065,85.38787,0
572,24012019 2000,23.059065,79.213684,0
573,24012019 2100,22.979065,79.94661,0
574,24012019 2200,22.719067,80.61327,0
575,24012019 2300,22.049067,82.05379,0
576,25012019 0000,21.249065,86.9314,0
577,25012019 0100,21.079065,87.625435,0
578,25012019 0200,21.259066,87.91415,0
579,25012019 0300,21.119066,89.45087,0
580,25012019 0400,21.279066,88.96257,0
581,25012019 0500,18.489065,95.15388,0
582,25012019 0600,18.559065,96.36264,0
583,25012019 0700,18.919065,96.18975,0
584,25012019 0800,19.799067,94.60294,0
585,25012019 0900,23.419065,73.95773,0
586,25012019 1000,23.689066,72.488716,0
587,25012019 1100,23.919065,69.93695,0
588,25012019 1200,25.629066,63.09613,0
589,25012019 1300,25.629066,63.016827,0
590,25012019 1400,25.859066,62.593136,0
591,25012019 1500,25.889067,63.112762,0
592,25012019 1600,25.529066,64.03341,0
593,25012019 1700,23.489065,78.87874,0
594,25012019 1800,22.989065,81.65631,0
595,25012019 1900,21.999065,86.13656,0
596,25012019 2000,21.259066,87.5858,0
597,25012019 2100,20.579065,86.98105,0
598,25012019 2200,20.819065,87.933174,0
599,25012019 2300,20.609066,88.57921,0
600,26012019 0000,21.659065,87.292725,1
601,26012019 0100,21.089066,89.56027,1
602,26012019 0200,21.289066,87.53369,1
603,26012019 0300,21.679066,87.45742,0
604,26012019 0400,21.369066,89.02459,1
605,26012019 0500,21.569065,91.50167,0
606,26012019 0600,21.389067,91.83239,1
607,26012019 0700,21.679066,89.71253,1
608,26012019 0800,21.939066,92.25907,1
609,26012019 0900,24.219067,82.10513,1
610,26012019 1000,23.529066,81.418205,1
611,26012019 1100,23.389067,84.21607,1
612,26012019 1200,24.609066,77.67768,1
613,26012019 1300,24.819065,76.235146,1
614,26012019 1400,25.059065,74.317986,1
615,26012019 1500,24.539066,79.31386,0
616,26012019 1600,23.959066,80.570145,0
617,26012019 1700,23.029066,83.349304,1
618,26012019 1800,23.029066,83.50427,1
619,26012019 1900,23.109066,83.92723,0
620,26012019 2000,23.429066,83.29001,0
621,26012019 2100,23.159065,80.069664,1
622,26012019 2200,23.089066,80.50993,0
623,26012019 2300,22.679066,80.007,1
624,27012019 0000,22.249065,80.000534,1
625,27012019 0100,22.289066,80.45762,0
626,27012019 0200,21.739065,83.67596,1
627,27012019 0300,22.129066,81.55203,0
628,27012019 0400,22.069065,81.697845,0
629,27012019 0500,21.679066,82.31856,1
630,27012019 0600,21.519066,81.93891,1
631,27012019 0700,21.699066,83.201866,0
632,27012019 0800,22.709066,83.884796,0
633,27012019 0900,23.489065,75.60668,1
634,27012019 1000,23.199066,76.4171,1
635,27012019 1100,23.269066,75.903946,1
636,27012019 1200,24.029066,71.95976,0
637,27012019 1300,24.199066,71.58553,1
638,27012019 1400,24.239065,72.40259,1
639,27012019 1500,24.559065,73.27433,0
640,27012019 1600,24.039066,74.33755,0
641,27012019 1700,22.609066,81.255264,0
642,27012019 1800,21.109066,88.06669,0
643,27012019 1900,20.989065,87.89213,0
644,27012019 2000,23.199066,78.49589,0
645,27012019 2100,22.869066,83.538635,0
646,27012019 2200,21.049067,90.96206,0
647,27012019 2300,20.209066,92.40093,0
648,28012019 0000,19.939066,95.08132,0
649,28012019 0100,20.149065,94.96957,0
650,28012019 0200,21.219067,93.43029,0
651,28012019 0300,21.179066,93.37077,0
652,28012019 0400,20.839066,92.95117,0
653,28012019 0500,20.989065,85.18342,0
654,28012019 0600,21.069065,83.97082,0
655,28012019 0700,20.999065,84.0688,0
